Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
SPATIAL COGNITION AND COMPUTATION,1387-5868,1542-7633,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,"Psychology, Experimental"
SPATIAL ECONOMIC ANALYSIS,1742-1772,1742-1780,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Economics
SPORT EDUCATION AND SOCIETY,1357-3322,1470-1243,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Education & Educational Research | Hospitality, Leisure, Sport & Tourism"
SPORT EXERCISE AND PERFORMANCE PSYCHOLOGY,2157-3905,2157-3913,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Hospitality, Leisure, Sport & Tourism | Psychology, Applied"
SPORT IN SOCIETY,1743-0437,1743-0445,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Hospitality, Leisure, Sport & Tourism | Sociology"
SPORT MANAGEMENT REVIEW,1441-3523,1839-2083,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,"Hospitality, Leisure, Sport & Tourism | Management"
SPORT MARKETING QUARTERLY,1061-6934,1557-2528,FITNESS INFORMATION TECHNOLOGY,"WEST VIRGINIA UNIVERSITY, 262 COLISEUM, WVU-PE, PO BOX 6116, MORGANTOWN, USA, WV, 26506-6116",English,"Business | Hospitality, Leisure, Sport & Tourism"
SPORT PSYCHOLOGIST,0888-4781,1543-2793,HUMAN KINETICS PUBL INC,"1607 N MARKET ST, PO BOX 5076, CHAMPAIGN, USA, IL, 61820-2200",English,"Hospitality, Leisure, Sport & Tourism | Psychology, Applied"
SSM-POPULATION HEALTH,2352-8273,2352-8273,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",English,"Public, Environmental & Occupational Health"
STANFORD JOURNAL OF INTERNATIONAL LAW,0731-5082,,"STANFORD UNIV, STANFORD LAW SCHOOL","STANFORD JOURNAL INT LAW, 559 NATHAN ABBOTT WAY, STANFORD, USA, CA, 94305-8610",English,International Relations | Law
STANFORD LAW REVIEW,0038-9765,1939-8581,"STANFORD UNIV, STANFORD LAW SCHOOL","STANFORD JOURNAL INT LAW, 559 NATHAN ABBOTT WAY, STANFORD, USA, CA, 94305-8610",English,Law
STATA JOURNAL,1536-867X,1536-8734,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Social Sciences, Mathematical Methods"
STATE POLITICS & POLICY QUARTERLY,1532-4400,1946-1607,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,Political Science
STRATEGIC ENTREPRENEURSHIP JOURNAL,1932-4391,1932-443X,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Business | Management
STRATEGIC MANAGEMENT JOURNAL,0143-2095,1097-0266,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Business | Management
STRATEGIC ORGANIZATION,1476-1270,1741-315X,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,Business | Management
STRESS AND HEALTH,1532-3005,1532-2998,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychiatry | Psychology, Applied"
STRUCTURAL CHANGE AND ECONOMIC DYNAMICS,0954-349X,1873-6017,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",English,Economics
STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,1070-5511,1532-8007,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Social Sciences, Mathematical Methods"
STUDIA PSYCHOLOGICA,0039-3320,2585-8815,"SLOVAK ACAD SCIENCES, CTR SOCIAL & PSYCHOLOGICAL SCIENCES, IEP","DUBRAVSKA CESTA 9, BRATISLAVA, SLOVAKIA, 813 64",English,"Psychology, Multidisciplinary"
STUDIES IN AMERICAN POLITICAL DEVELOPMENT,0898-588X,1469-8692,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,Political Science
STUDIES IN COMPARATIVE INTERNATIONAL DEVELOPMENT,0039-3606,1936-6167,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,Development Studies | International Relations | Political Science
STUDIES IN CONFLICT & TERRORISM,1057-610X,1521-0731,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,International Relations | Political Science
STUDIES IN CONTINUING EDUCATION,0158-037X,1470-126X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Education & Educational Research
STUDIES IN EAST EUROPEAN THOUGHT,0925-9392,1573-0948,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",Multi-Language,Ethics
STUDIES IN EDUCATIONAL EVALUATION,0191-491X,,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",English,"Education & Educational Research | Psychology, Educational"
STUDIES IN FAMILY PLANNING,0039-3665,1728-4465,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Demography | Public, Environmental & Occupational Health"
STUDIES IN HIGHER EDUCATION,0307-5079,1470-174X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Education & Educational Research
STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,0039-3681,1879-2510,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",English,History & Philosophy Of Science
STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE PART C-STUDIES IN HISTORY AND PHILOSOPHY OF BIOLOGICAL AND BIOMEDICAL SCIENCES,1369-8486,1879-2499,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",English,History & Philosophy Of Science
STUDIES IN LANGUAGE,0378-4177,1569-9978,JOHN BENJAMINS PUBLISHING CO,"PO BOX 36224, AMSTERDAM, NETHERLANDS, 1020 ME",English,Linguistics
STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS,1081-1826,1558-3708,WALTER DE GRUYTER GMBH,"GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",English,"Economics | Social Sciences, Mathematical Methods"
STUDIES IN PHILOSOPHY AND EDUCATION,0039-3746,1573-191X,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,Education & Educational Research
STUDIES IN PSYCHOLOGY,0210-9395,1579-3699,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary"
STUDIES IN SCIENCE EDUCATION,0305-7267,1940-8412,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Education & Educational Research
STUDIES IN SECOND LANGUAGE ACQUISITION,0272-2631,1470-1545,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,Linguistics
STUDIES IN SECOND LANGUAGE LEARNING AND TEACHING,2083-5205,2084-1965,"ADAM MICKIEWICZ UNIV, KALISZ","FAC PEDAGOGY & FINE ARTS, DEPT ENGLISH STUDIES, UL NOWY SWIAT 28-30, KALISZ, POLAND, 62-800",English,Linguistics
SUBSTANCE ABUSE,0889-7077,1547-0164,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Substance Abuse
SUBSTANCE ABUSE TREATMENT PREVENTION AND POLICY,,1747-597X,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",English,Substance Abuse
SUBSTANCE USE & MISUSE,1082-6084,1532-2491,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,Substance Abuse
SUICIDE AND LIFE-THREATENING BEHAVIOR,0363-0234,1943-278X,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychiatry | Psychology, Multidisciplinary"
SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL,1359-8546,1758-6852,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",English,Business | Management
SUPREME COURT REVIEW,0081-9557,2158-2459,UNIV CHICAGO PRESS,"1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954",English,Law
SURVEY METHODOLOGY,0714-0045,,STATISTICS CANADA,"100 TUNNEYS PASTURE DRIVEWAY, OTTAWA, CANADA, ONTARIO, K1A 0T6",English,"Social Sciences, Mathematical Methods"
SURVEY RESEARCH METHODS,1864-3361,1864-3361,EUROPEAN SURVEY RESEARCH ASSOCIATION,"UNIV DUISBURG-ESSEN , LOTHARSTR 65-LF 360, DUISBURG, GERMANY, D-47057",English,"Social Sciences, Mathematical Methods"
SURVIVAL,0039-6338,1468-2699,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,International Relations | Political Science
SUSTAINABILITY,,2071-1050,MDPI,"ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052",English,Green & Sustainable Science & Technology | Environmental Studies
SUSTAINABILITY ACCOUNTING MANAGEMENT AND POLICY JOURNAL,2040-8021,2040-803X,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",English,"Business, Finance | Environmental Studies | Management"
SUSTAINABLE DEVELOPMENT,0968-0802,1099-1719,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Development Studies | Green & Sustainable Science & Technology | Regional & Urban Planning
SUSTAINABLE PRODUCTION AND CONSUMPTION,2352-5509,2352-5509,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",English,Green & Sustainable Science & Technology | Environmental Studies
SWISS POLITICAL SCIENCE REVIEW,1424-7755,1662-6370,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",German,Political Science
SYMBOLIC INTERACTION,0195-6086,1533-8665,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Sociology
SYNTAX-A JOURNAL OF THEORETICAL EXPERIMENTAL AND INTERDISCIPLINARY RESEARCH,1368-0005,1467-9612,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Linguistics
SYNTHESE,0039-7857,1573-0964,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,History & Philosophy Of Science
SYSTEM,0346-251X,1879-3282,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",English,Education & Educational Research | Linguistics
SYSTEM DYNAMICS REVIEW,0883-7066,1099-1727,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Management | Social Sciences, Mathematical Methods"
SYSTEMIC PRACTICE AND ACTION RESEARCH,1094-429X,1573-9295,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,Management
SYSTEMS,,2079-8954,MDPI,"ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052",English,"Social Sciences, Interdisciplinary"
SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE,1092-7026,1099-1743,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Management | Social Sciences, Interdisciplinary"
TARGET-INTERNATIONAL JOURNAL OF TRANSLATION STUDIES,0924-1884,1569-9986,JOHN BENJAMINS PUBLISHING CO,"PO BOX 36224, AMSTERDAM, NETHERLANDS, 1020 ME",English,Linguistics
TEACHER EDUCATION AND SPECIAL EDUCATION,0888-4064,1944-4931,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,Education & Educational Research
TEACHERS AND TEACHING,1354-0602,1470-1278,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Education & Educational Research
TEACHERS COLLEGE RECORD,0161-4681,1467-9620,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,Education & Educational Research
TEACHING AND TEACHER EDUCATION,0742-051X,1879-2480,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,Education & Educational Research
TEACHING IN HIGHER EDUCATION,1356-2517,1470-1294,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Education & Educational Research
TEACHING OF PSYCHOLOGY,0098-6283,1532-8023,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Education & Educational Research | Psychology, Multidisciplinary"
TEACHING SOCIOLOGY,0092-055X,1939-862X,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,Education & Educational Research | Sociology
TECHNICAL COMMUNICATION,0049-3155,,SOC TECHNICAL COMMUNICATION,"9401 LEE HIGHWAY, STE 300, FAIRFAX, USA, VA, 22031",English,Communication
TECHNOLOGICAL AND ECONOMIC DEVELOPMENT OF ECONOMY,2029-4913,2029-4921,VILNIUS GEDIMINAS TECH UNIV,"SAULETEKIO AL 11, VILNIUS, LITHUANIA, LT-10223",English,Economics
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,0040-1625,1873-5509,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,Business | Regional & Urban Planning
TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,0953-7325,1465-3990,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Management
TECHNOLOGY AND CULTURE,0040-165X,1097-3729,JOHNS HOPKINS UNIV PRESS,"JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, USA, MD, 21218-4363",English,History & Philosophy Of Science
TECHNOLOGY IN SOCIETY,0160-791X,1879-3274,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",English,"Social Issues | Social Sciences, Interdisciplinary"
TECHNOLOGY PEDAGOGY AND EDUCATION,1475-939X,1747-5139,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Education & Educational Research
TECHNOVATION,0166-4972,1879-2383,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",English,Management
TELECOMMUNICATIONS POLICY,0308-5961,1879-3258,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",English,Communication | Information Science & Library Science
TELEMATICS AND INFORMATICS,0736-5853,1879-324X,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",English,Information Science & Library Science
TELEVISION & NEW MEDIA,1527-4764,1552-8316,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,Communication
TELOS,0090-6514,1940-459X,TELOS PRESS LTD,"431 E 12TH ST, NEW YORK, USA, NY, 10009",English,Political Science | Sociology
TEMPO SOCIAL,0103-2070,1809-4554,"UNIV SAO PAOLO, DEPT SOCIOLOGIA","AV PROF LUCIANO GUALBERTO, 315, SAO PAULO SP, BRAZIL, 05508-010",Portuguese,Sociology
TERAPIA PSICOLOGICA,0718-4808,0718-4808,SOCIEDAD CHILENA PSICOLOGIA CLINICA,"RICARDO MATTE PEREZ 492 PROVIDENCIA, SANTIAGO, CHILE, 00000",Spanish,"Psychology, Clinical"
TERMINOLOGY,0929-9971,1569-9994,JOHN BENJAMINS PUBLISHING CO,"PO BOX 36224, AMSTERDAM, NETHERLANDS, 1020 ME",English,Linguistics
TERRITORY POLITICS GOVERNANCE,2162-2671,2162-268X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Geography | Political Science
TERRORISM AND POLITICAL VIOLENCE,0954-6553,1556-1836,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,International Relations | Political Science
TESOL QUARTERLY,0039-8322,1545-7249,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Education & Educational Research | Linguistics
TEXAS LAW REVIEW,0040-4411,1942-857X,TEXAS LAW REVIEW PUBL INC,"727 E 26TH ST, AUSTIN, USA, TX, 78705",English,Law
TEXT & TALK,1860-7330,1860-7349,DE GRUYTER MOUTON,"GENTHINER STRASSE 13, BERLIN, GERMANY, 10785",English,Communication | Linguistics
THEORETICAL CRIMINOLOGY,1362-4806,1461-7439,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,Criminology & Penology
THEORETICAL ECONOMICS,1933-6837,1555-7561,ECONOMETRIC SOCIETY,"NEW YORK UNIV, DEPT ECONOMICS, 19 W 4 ST, NEW YORK, USA, NY, 10012",English,Economics
THEORETICAL LINGUISTICS,0301-4428,1613-4060,WALTER DE GRUYTER GMBH,"GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",English,Linguistics
THEORETICAL MEDICINE AND BIOETHICS,1386-7415,1573-1200,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,"Ethics | Social Issues | Social Sciences, Biomedical"
THEORY AND DECISION,0040-5833,1573-7187,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,"Economics | Social Sciences, Mathematical Methods"
THEORY AND RESEARCH IN SOCIAL EDUCATION,0093-3104,2163-1654,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Education & Educational Research
THEORY AND SOCIETY,0304-2421,1573-7853,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,Sociology
THEORY CULTURE & SOCIETY,0263-2764,1460-3616,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,Cultural Studies
THEORY INTO PRACTICE,0040-5841,1543-0421,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Education & Educational Research
THEORY & PSYCHOLOGY,0959-3543,1461-7447,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Multidisciplinary"
THINKING & REASONING,1354-6783,1464-0708,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Experimental"
THINKING SKILLS AND CREATIVITY,1871-1871,1878-0423,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",English,Education & Educational Research
THIRD WORLD QUARTERLY,0143-6597,1360-2241,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Development Studies
TIDSSKRIFT FOR SAMFUNNSFORSKNING,0040-716X,1504-291X,UNIVERSITETSFORLAGET A S,"POSTBOKS 508 SENTRUM, OSLO, NORWAY, N-0105","Bokmål, Norwegian, Norwegian Bokmål","Social Sciences, Interdisciplinary"
TIJDSCHRIFT VOOR COMMUNICATIEWETENSCHAP,1384-6930,1875-7286,AMSTERDAM UNIV PRESS,"NIEUWE PRINSENGRACHT 89, AMSTERDAM, Netherlands,  , 1018 VR",Dutch,Communication
TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE,0040-747X,1467-9663,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",Multi-Language,Economics | Geography
TIJDSCHRIFT VOOR RECHTSGESCHIEDENIS-REVUE D HISTOIRE DU DROIT-THE LEGAL HISTORY REVIEW,0040-7585,0040-7585,BRILL,"PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA",English,History | Law
TIME & SOCIETY,0961-463X,1461-7463,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Social Sciences, Interdisciplinary"
TOBACCO CONTROL,0964-4563,1468-3318,BMJ PUBLISHING GROUP,"BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON, ENGLAND, WC1H 9JR",English,"Substance Abuse | Public, Environmental & Occupational Health"
TOBACCO INDUCED DISEASES,1617-9625,1617-9625,EUROPEAN PUBLISHING,"SCIENCE & TECHNOLGY PARK CRETE, (STEP-C), N PLASTIRA 100, VASSILIKA VOUTWN, HERAKLION, GREECE, CRETE, 00000",English,"Substance Abuse | Public, Environmental & Occupational Health"
TOBACCO REGULATORY SCIENCE,2333-9748,2333-9748,TOBACCO REGULATORY SCIENCE GROUP,"2205-K OAK RIDGE RIDGE, STE 115-TRS, OAK RIDGE, USA, NC, 27310",English,"Public, Environmental & Occupational Health"
TOPIA-CANADIAN JOURNAL OF CULTURAL STUDIES,1206-0143,1916-0194,UNIV TORONTO PRESS INC,"JOURNALS DIVISION, 5201 DUFFERIN ST, DOWNSVIEW, TORONTO, CANADA, ON, M3H 5T8",English,Cultural Studies
TOPICS IN COGNITIVE SCIENCE,1756-8757,1756-8765,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Experimental"
TOPICS IN EARLY CHILDHOOD SPECIAL EDUCATION,0271-1214,1538-4845,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Education, Special"
TOPICS IN GERIATRIC REHABILITATION,0882-7524,1550-2414,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",English,Gerontology | Rehabilitation
TOPICS IN LANGUAGE DISORDERS,0271-8294,1550-3259,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",English,Linguistics | Rehabilitation
TOTAL QUALITY MANAGEMENT & BUSINESS EXCELLENCE,1478-3363,1478-3371,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Management
TOURISM ECONOMICS,1354-8166,2044-0375,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Economics | Hospitality, Leisure, Sport & Tourism"
TOURISM GEOGRAPHIES,1461-6688,1470-1340,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Hospitality, Leisure, Sport & Tourism"
TOURISM MANAGEMENT,0261-5177,1879-3193,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",English,"Environmental Studies | Hospitality, Leisure, Sport & Tourism | Management"
TOURISM MANAGEMENT PERSPECTIVES,2211-9736,2211-9744,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",English,"Hospitality, Leisure, Sport & Tourism | Management"
TOURISM REVIEW,1660-5373,1759-8451,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",English,"Hospitality, Leisure, Sport & Tourism"
TOURIST STUDIES,1468-7976,1741-3206,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Hospitality, Leisure, Sport & Tourism"
TRABAJOS DE PREHISTORIA,0082-5638,1988-3218,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC,"Editorial CSIC, C/VITRUVIO 8, MADRID, Spain, 28006","Spanish, English, French",Anthropology
TRAFFIC INJURY PREVENTION,1538-9588,1538-957X,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,"Public, Environmental & Occupational Health | Transportation"
TRAINING AND EDUCATION IN PROFESSIONAL PSYCHOLOGY,1931-3918,1931-3926,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Educational"
TRAMES-JOURNAL OF THE HUMANITIES AND SOCIAL SCIENCES,1406-0922,1736-7514,ESTONIAN ACAD PUBLISHERS,"6 KOHTU, TALLINN, Estonia, 10130",English,"Social Sciences, Interdisciplinary"
TRANSACTIONS IN GIS,1361-1682,1467-9671,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Geography
TRANSACTIONS OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS,,2307-387X,MIT PRESS,"ONE ROGERS ST, CAMBRIDGE, USA, MA, 02142-1209",English,Linguistics
TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS,0020-2754,1475-5661,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Geography
TRANSCULTURAL PSYCHIATRY,1363-4615,1461-7471,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,Anthropology | Psychiatry
